Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1,Qualification + Final,GOMEZ Judith,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,420.9,251.6,,106.5,105.2,104.6,104.6,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
2,Qualification + Final,FERRIOL Florence,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,414.3,180.6,,102.3,105.2,103.4,103.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
3,Qualification + Final,GASSER Anne,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,411.3,200.8,,104.2,103.3,101.0,102.8,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
4,Qualification + Final,NIEWADA Inès,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,410.1,242.6,,102.9,102.5,104.7,100.0,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
5,Qualification + Final,ALBOURIE Lauriane,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,407.7,118.7,,98.5,105.5,101.4,102.3,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
6,Qualification + Final,PIN Constance,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,407.2,160.2,,99.7,103.2,101.6,102.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
7,Qualification + Final,REMOND Lyne,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,406.1,222.7,,101.6,101.2,102.2,101.1,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
8,Qualification + Final,MANATA Cassandra,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,406.0,138.4,,101.9,102.6,101.9,99.6,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
9,Qualification,BOILEVE Estelle,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,404.8,,,100.1,102.2,101.0,101.5,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
10,Qualification,BOURGUIGNON Chloé,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,404.7,,,99.5,103.1,101.1,101.0,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
11,Qualification,GIUFFRA Julie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,404.5,,,99.7,102.6,100.8,101.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
12,Qualification,WATRELOT Gaëlle,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,404.5,,,100.0,100.6,102.3,101.6,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
13,Qualification,VARDANEGA Jade,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,404.4,,,102.2,100.3,101.1,100.8,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
14,Qualification,EVENOT Noëllie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,403.6,,,100.8,101.9,101.9,99.0,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
15,Qualification,BAILLY SALINS Mélody,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,403.5,,,101.3,101.0,99.5,101.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
16,Qualification,DE TIESENHAUSEN Alexandra,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,403.2,,,102.4,99.0,102.1,99.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
17,Qualification,TROTTIER Marie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,402.4,,,100.1,99.6,102.1,100.6,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
18,Qualification,STOLL Ombeline,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,400.3,,,96.4,99.9,102.6,101.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
19,Qualification,BOGARD Floriane,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,400.2,,,98.7,99.6,101.5,100.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
20,Qualification,BREUIL Marie-Amélie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,400.0,,,101.6,98.9,100.8,98.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
21,Qualification,GUYON Julie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,399.6,,,99.1,100.5,100.1,99.9,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
22,Qualification,MORERE Alizée,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,399.1,,,100.1,98.5,102.5,98.0,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
23,Qualification,PINVIDIC Emilie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,399.1,,,100.9,98.2,99.6,100.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
24,Qualification,STORAI Lisandra,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,399.0,,,96.9,101.8,100.9,99.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
25,Qualification,PINATEAU Audrey,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,398.9,,,99.6,100.2,99.7,99.4,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
26,Qualification,ROETTELE Lisa,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,398.6,,,98.7,100.7,100.0,99.2,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
27,Qualification,AMRAOUI Jade,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,397.4,,,98.5,100.8,102.1,96.0,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
28,Qualification,CREUSAT Laura,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,397.2,,,99.5,97.1,98.8,101.8,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
29,Qualification,VOUILLOT Alicia,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,397.1,,,98.1,102.7,100.2,96.1,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
30,Qualification,DUBOIS Delphine,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,396.5,,,101.0,100.9,98.3,96.3,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
31,Qualification,MARTEAU Noémie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,396.4,,,100.5,98.7,97.5,99.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
32,Qualification,HEIM Maëlle,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,396.2,,,98.4,99.9,98.6,99.3,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
33,Qualification,DEMANGE Margaux,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,396.0,,,100.5,99.9,95.4,100.2,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
34,Qualification,BOULONGNE Mélanie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,395.4,,,97.6,100.7,98.9,98.2,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
35,Qualification,MILLIERE Julie,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,395.3,,,97.3,97.4,99.9,100.7,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
36,Qualification,GUENOUX Clémence,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,395.0,,,101.2,97.4,98.2,98.2,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
37,Qualification,DUPREY Jeanne,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,394.4,,,98.8,100.2,98.2,97.2,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
38,Qualification,NIVELET romane,2018-02-06,Championnat de France 10/18 m Montluçon 2017,Montluçon,104 Carabine 10 mètres Juniors filles,393.8,,,98.6,97.9,97.5,99.8,,,,,,,,,,,,,,Carabine 10m,10 Junior Women.pdf
