Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1,Qualification,BARDIN Axel,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,619.5,,,102.5,103.6,103.3,103.2,102.8,104.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
7,Qualification,ROMANELLI Alan,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,609.9,,,101.1,101.4,104.3,101.9,101.4,99.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
10,Qualification,CHAMBON Enzo,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,607.8,,,103.7,99.3,103.9,100.1,102.9,97.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
11,Qualification,FLOC'H Mathis,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,607.1,,,99.9,99.2,101.6,103.1,100.7,102.6,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
14,Qualification,DELÉAGE Benjamin,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,604.8,,,101.1,98.4,102.8,101.3,100.8,100.4,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
17,Qualification,MARCIA Matéo,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,603.9,,,101.5,98.3,96.1,102.3,102.9,102.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
18,Qualification,CASALINO Enzo,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,602.7,,,100.2,101.5,98.5,99.6,100.1,102.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
19,Qualification,BIZET MEUNIER,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,602.4,,,100.6,98.9,100.4,100.4,102.2,99.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
21,Qualification,CHYKALAU Alexandre,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,601.5,,,99.2,99.4,102.1,99.9,101.1,99.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
24,Qualification,PICHOT Célestin,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,600.1,,,99.2,100.8,102.2,100.9,96.6,100.4,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
26,Qualification,TORRES Pablo,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,599.9,,,101.6,97.4,99.6,98.8,103.3,99.2,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
27,Qualification,JAZE Léo,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,599.5,,,98.9,101.3,99.1,100.2,100.1,99.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
28,Qualification,ROTH Tom,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,598.5,,,102.2,99.9,100.1,96.3,100.4,99.6,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
30,Qualification,CHAIGNAUD Julian,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,597.6,,,98.8,101.1,97.8,97.8,100.5,101.6,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
31,Qualification,CICERON Romain,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,597.4,,,97.6,97.8,99.6,100.1,103.1,99.2,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
32,Qualification,WURTLIN Mathis,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,596.2,,,100.4,99.2,98.1,99.3,97.3,101.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
38,Qualification,PROUIN Théophile,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,592.8,,,98.4,98.5,99.2,100.1,98.3,98.3,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
40,Qualification,TAVET Robin,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,592.4,,,97.8,100.4,97.7,98.1,99.3,99.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
41,Qualification,LE FLOCH,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,592.2,,,98.6,102.3,98.3,97.8,95.4,99.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
42,Qualification,FOREST Valentin,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,592.2,,,97.9,97.7,99.7,99.3,99.8,97.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
43,Qualification,FLORES Anthony,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,592.2,,,98.2,100.5,101.1,96.4,98.2,97.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
44,Qualification,"P-C 99,1",2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,591.9,,,99.1,97.9,100.2,97.6,98.6,98.5,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
49,Qualification,FONS Lucas,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,590.6,,,98.1,100.8,95.5,98.4,99.6,98.2,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
50,Qualification,RUBLER Aedan,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,590.4,,,98.1,97.4,101.4,96.7,97.7,99.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
52,Qualification,PLUCHERY Augustin,2026-01-27,48e CdF 10/18 m - Besançon 2026,Besançon,104 - Carabine 10 mètres Cadets garçons,588.1,,,97.7,97.6,96.8,100.6,97.9,97.5,,,,,,,,,,,,Carabine 10m,10m Cadet Men.pdf
